workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/LunarLander-v3/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup9000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/PEBBLE_maxfeed1400_Rbatch128_seed1
| train          | E: 39 | S: 3826 | R: 0.44 | TR: -551.10 | TF: 0 | LR: 0 | NR: 0 | D: 40.5 s | TD: 1248.2 s | BR: 0.01 | ALOSS: -6.10 | CLOSS: 6.59 | TLOSS: 0.17 | TVAL: 0.08 | AENT: 0.13 | BCLOSS: 0.00
| train          | E: 40 | S: 3940 | R: 0.16 | TR: -809.93 | TF: 0 | LR: 0 | NR: 0 | D: 60.5 s | TD: 1308.6 s | BR: 0.01 | ALOSS: -6.30 | CLOSS: 6.11 | TLOSS: 0.16 | TVAL: 0.08 | AENT: 0.06 | BCLOSS: 0.00
| train          | E: 41 | S: 4028 | R: 0.49 | TR: -707.78 | TF: 0 | LR: 0 | NR: 0 | D: 47.2 s | TD: 1355.8 s | BR: 0.01 | ALOSS: -6.49 | CLOSS: 6.13 | TLOSS: 0.16 | TVAL: 0.08 | AENT: 0.03 | BCLOSS: 0.00
| train          | E: 42 | S: 4120 | R: 0.46 | TR: -385.95 | TF: 0 | LR: 0 | NR: 0 | D: 50.0 s | TD: 1405.9 s | BR: 0.01 | ALOSS: -6.72 | CLOSS: 5.98 | TLOSS: 0.15 | TVAL: 0.08 | AENT: 0.00 | BCLOSS: 0.00
| train          | E: 43 | S: 4183 | R: 0.30 | TR: -546.89 | TF: 0 | LR: 0 | NR: 0 | D: 33.8 s | TD: 1439.6 s | BR: 0.01 | ALOSS: -6.92 | CLOSS: 6.15 | TLOSS: 0.15 | TVAL: 0.08 | AENT: -0.02 | BCLOSS: 0.00
| train          | E: 44 | S: 4278 | R: 0.18 | TR: -362.95 | TF: 0 | LR: 0 | NR: 0 | D: 52.6 s | TD: 1492.3 s | BR: 0.01 | ALOSS: -7.19 | CLOSS: 6.43 | TLOSS: 0.15 | TVAL: 0.08 | AENT: -0.04 | BCLOSS: 0.00
| train          | E: 45 | S: 4429 | R: 2.09 | TR: -725.94 | TF: 0 | LR: 0 | NR: 0 | D: 83.5 s | TD: 1575.7 s | BR: 0.01 | ALOSS: -7.48 | CLOSS: 6.73 | TLOSS: 0.14 | TVAL: 0.07 | AENT: -0.10 | BCLOSS: 0.00
| train          | E: 46 | S: 4520 | R: 1.32 | TR: -444.32 | TF: 0 | LR: 0 | NR: 0 | D: 51.6 s | TD: 1627.3 s | BR: 0.01 | ALOSS: -7.75 | CLOSS: 7.99 | TLOSS: 0.14 | TVAL: 0.07 | AENT: -0.13 | BCLOSS: 0.00
| train          | E: 47 | S: 4583 | R: 0.26 | TR: -286.80 | TF: 0 | LR: 0 | NR: 0 | D: 35.4 s | TD: 1662.7 s | BR: 0.01 | ALOSS: -7.99 | CLOSS: 10.19 | TLOSS: 0.13 | TVAL: 0.07 | AENT: -0.19 | BCLOSS: 0.00
| train          | E: 48 | S: 4654 | R: 0.26 | TR: -678.76 | TF: 0 | LR: 0 | NR: 0 | D: 40.6 s | TD: 1703.3 s | BR: 0.01 | ALOSS: -8.15 | CLOSS: 9.28 | TLOSS: 0.13 | TVAL: 0.07 | AENT: -0.26 | BCLOSS: 0.00
