workspace: /home/richardhcli/data/Projects/CLAN_labs_onboarding_replicateBilevelPaper/exp/Pendulum-v1/H1024_L2_lr0.0001/teacher_b-1_g1_m0_s0_e0/init1000_unsup9000_inter5000_seg50_acttanh_Rlr0.0003_Rupdate200_en3_sample1_large_batch10_schedule_0_label_smooth_0.0/PEBBLE_maxfeed1400_Rbatch128_seed1
| train          | E: 35 | S: 7000 | R: 10.92 | TR: -1025.90 | TF: 0 | LR: 0 | NR: 0 | D: 92.5 s | TD: 1940.0 s | BR: 0.05 | ALOSS: -27.10 | CLOSS: 0.32 | TLOSS: 0.06 | TVAL: 0.06 | AENT: -0.02 | BCLOSS: 0.00
| train          | E: 36 | S: 7200 | R: 10.38 | TR: -1102.96 | TF: 0 | LR: 0 | NR: 0 | D: 94.3 s | TD: 2034.4 s | BR: 0.05 | ALOSS: -27.98 | CLOSS: 0.34 | TLOSS: 0.05 | TVAL: 0.06 | AENT: -0.07 | BCLOSS: 0.00
| train          | E: 37 | S: 7400 | R: 11.93 | TR: -1129.87 | TF: 0 | LR: 0 | NR: 0 | D: 96.6 s | TD: 2131.0 s | BR: 0.05 | ALOSS: -28.90 | CLOSS: 0.35 | TLOSS: 0.05 | TVAL: 0.06 | AENT: -0.15 | BCLOSS: 0.00
| train          | E: 38 | S: 7600 | R: 11.99 | TR: -1160.61 | TF: 0 | LR: 0 | NR: 0 | D: 98.3 s | TD: 2229.3 s | BR: 0.05 | ALOSS: -29.81 | CLOSS: 0.36 | TLOSS: 0.05 | TVAL: 0.06 | AENT: -0.18 | BCLOSS: 0.00
| train          | E: 39 | S: 7800 | R: 12.33 | TR: -1192.03 | TF: 0 | LR: 0 | NR: 0 | D: 100.2 s | TD: 2329.5 s | BR: 0.05 | ALOSS: -30.68 | CLOSS: 0.37 | TLOSS: 0.04 | TVAL: 0.06 | AENT: -0.21 | BCLOSS: 0.00
| train          | E: 40 | S: 8000 | R: 9.37 | TR: -1407.83 | TF: 0 | LR: 0 | NR: 0 | D: 102.2 s | TD: 2431.8 s | BR: 0.05 | ALOSS: -31.52 | CLOSS: 0.37 | TLOSS: 0.04 | TVAL: 0.06 | AENT: -0.25 | BCLOSS: 0.00
| train          | E: 41 | S: 8200 | R: 13.12 | TR: -1343.52 | TF: 0 | LR: 0 | NR: 0 | D: 104.9 s | TD: 2536.7 s | BR: 0.05 | ALOSS: -32.41 | CLOSS: 0.36 | TLOSS: 0.04 | TVAL: 0.05 | AENT: -0.27 | BCLOSS: 0.00
| train          | E: 42 | S: 8400 | R: 12.30 | TR: -1234.87 | TF: 0 | LR: 0 | NR: 0 | D: 107.7 s | TD: 2644.4 s | BR: 0.05 | ALOSS: -33.23 | CLOSS: 0.38 | TLOSS: 0.04 | TVAL: 0.05 | AENT: -0.28 | BCLOSS: 0.00
| train          | E: 43 | S: 8600 | R: 8.87 | TR: -1411.84 | TF: 0 | LR: 0 | NR: 0 | D: 109.8 s | TD: 2754.2 s | BR: 0.05 | ALOSS: -34.02 | CLOSS: 0.39 | TLOSS: 0.04 | TVAL: 0.05 | AENT: -0.30 | BCLOSS: 0.00
| train          | E: 44 | S: 8800 | R: 8.99 | TR: -1384.20 | TF: 0 | LR: 0 | NR: 0 | D: 112.7 s | TD: 2866.9 s | BR: 0.05 | ALOSS: -34.80 | CLOSS: 0.40 | TLOSS: 0.04 | TVAL: 0.05 | AENT: -0.30 | BCLOSS: 0.00
| train          | E: 45 | S: 9000 | R: 12.65 | TR: -1211.60 | TF: 0 | LR: 0 | NR: 0 | D: 113.8 s | TD: 2980.8 s | BR: 0.05 | ALOSS: -35.65 | CLOSS: 0.40 | TLOSS: 0.04 | TVAL: 0.05 | AENT: -0.32 | BCLOSS: 0.00
| train          | E: 46 | S: 9200 | R: 12.81 | TR: -1245.17 | TF: 0 | LR: 0 | NR: 0 | D: 115.3 s | TD: 3096.1 s | BR: 0.05 | ALOSS: -36.45 | CLOSS: 0.40 | TLOSS: 0.03 | TVAL: 0.05 | AENT: -0.34 | BCLOSS: 0.00
| train          | E: 47 | S: 9400 | R: 8.93 | TR: -1389.79 | TF: 0 | LR: 0 | NR: 0 | D: 117.2 s | TD: 3213.3 s | BR: 0.05 | ALOSS: -37.22 | CLOSS: 0.40 | TLOSS: 0.03 | TVAL: 0.05 | AENT: -0.36 | BCLOSS: 0.00
| train          | E: 48 | S: 9600 | R: 12.10 | TR: -1168.96 | TF: 0 | LR: 0 | NR: 0 | D: 118.8 s | TD: 3332.1 s | BR: 0.05 | ALOSS: -37.97 | CLOSS: 0.41 | TLOSS: 0.03 | TVAL: 0.05 | AENT: -0.38 | BCLOSS: 0.00
| train          | E: 49 | S: 9800 | R: 9.12 | TR: -1389.63 | TF: 0 | LR: 0 | NR: 0 | D: 120.9 s | TD: 3453.0 s | BR: 0.05 | ALOSS: -38.68 | CLOSS: 0.42 | TLOSS: 0.03 | TVAL: 0.05 | AENT: -0.38 | BCLOSS: 0.00
| train          | E: 50 | S: 10000 | R: 9.09 | TR: -1430.22 | TF: 0 | LR: 0 | NR: 0 | D: 123.6 s | TD: 3576.6 s | BR: 0.05 | ALOSS: -39.40 | CLOSS: 0.42 | TLOSS: 0.03 | TVAL: 0.05 | AENT: -0.41 | BCLOSS: 0.00
| eval           | E: 50 | S: 10000 | R: -1346.20 | TR: -1346.20 | TS: 0.00
Reward function is updated!! ACC: 0.9713541666666666
| train          | E: 51 | S: 10200 | R: 9.39 | TR: -1405.56 | TF: 0 | LR: 0 | NR: 0 | D: 47.5 s | TD: 3624.1 s | BR: -0.04 | ALOSS: 0.03 | CLOSS: 0.00 | TLOSS: 0.07 | TVAL: 0.05 | AENT: 0.59 | BCLOSS: 0.00
| train          | E: 52 | S: 10400 | R: -27.51 | TR: -1580.24 | TF: 128 | LR: 128 | NR: 0 | D: 27.1 s | TD: 3651.2 s | BR: -0.04 | ALOSS: 0.05 | CLOSS: 0.00 | TLOSS: 0.07 | TVAL: 0.04 | AENT: 0.62 | BCLOSS: 0.00
| train          | E: 53 | S: 10600 | R: -8.84 | TR: -1190.12 | TF: 128 | LR: 128 | NR: 0 | D: 27.1 s | TD: 3678.3 s | BR: -0.05 | ALOSS: 0.06 | CLOSS: 0.00 | TLOSS: 0.07 | TVAL: 0.04 | AENT: 0.61 | BCLOSS: 0.00
| train          | E: 54 | S: 10800 | R: -30.33 | TR: -1835.91 | TF: 128 | LR: 128 | NR: 0 | D: 27.2 s | TD: 3705.5 s | BR: -0.05 | ALOSS: 0.07 | CLOSS: 0.00 | TLOSS: 0.07 | TVAL: 0.04 | AENT: 0.61 | BCLOSS: 0.00
| train          | E: 55 | S: 11000 | R: -28.66 | TR: -1681.06 | TF: 128 | LR: 128 | NR: 0 | D: 27.0 s | TD: 3732.6 s | BR: -0.05 | ALOSS: 0.09 | CLOSS: 0.00 | TLOSS: 0.07 | TVAL: 0.04 | AENT: 0.60 | BCLOSS: 0.00
| train          | E: 56 | S: 11200 | R: -7.08 | TR: -1167.00 | TF: 128 | LR: 128 | NR: 0 | D: 27.1 s | TD: 3759.6 s | BR: -0.05 | ALOSS: 0.09 | CLOSS: 0.00 | TLOSS: 0.06 | TVAL: 0.04 | AENT: 0.59 | BCLOSS: 0.00
| train          | E: 57 | S: 11400 | R: -4.84 | TR: -1138.04 | TF: 128 | LR: 128 | NR: 0 | D: 26.9 s | TD: 3786.6 s | BR: -0.05 | ALOSS: 0.11 | CLOSS: 0.00 | TLOSS: 0.06 | TVAL: 0.04 | AENT: 0.59 | BCLOSS: 0.00
| train          | E: 58 | S: 11600 | R: -29.63 | TR: -1753.76 | TF: 128 | LR: 128 | NR: 0 | D: 27.1 s | TD: 3813.6 s | BR: -0.05 | ALOSS: 0.12 | CLOSS: 0.00 | TLOSS: 0.06 | TVAL: 0.04 | AENT: 0.58 | BCLOSS: 0.00
| train          | E: 59 | S: 11800 | R: -17.91 | TR: -1339.83 | TF: 128 | LR: 128 | NR: 0 | D: 26.9 s | TD: 3840.6 s | BR: -0.05 | ALOSS: 0.13 | CLOSS: 0.00 | TLOSS: 0.06 | TVAL: 0.04 | AENT: 0.57 | BCLOSS: 0.00
| train          | E: 60 | S: 12000 | R: -28.81 | TR: -1691.86 | TF: 128 | LR: 128 | NR: 0 | D: 27.1 s | TD: 3867.7 s | BR: -0.05 | ALOSS: 0.15 | CLOSS: 0.00 | TLOSS: 0.06 | TVAL: 0.04 | AENT: 0.56 | BCLOSS: 0.00
| train          | E: 61 | S: 12200 | R: -20.14 | TR: -1360.74 | TF: 128 | LR: 128 | NR: 0 | D: 26.8 s | TD: 3894.5 s | BR: -0.05 | ALOSS: 0.16 | CLOSS: 0.00 | TLOSS: 0.06 | TVAL: 0.04 | AENT: 0.56 | BCLOSS: 0.00
| train          | E: 62 | S: 12400 | R: -14.38 | TR: -1288.56 | TF: 128 | LR: 128 | NR: 0 | D: 27.5 s | TD: 3921.9 s | BR: -0.05 | ALOSS: 0.18 | CLOSS: 0.00 | TLOSS: 0.06 | TVAL: 0.04 | AENT: 0.55 | BCLOSS: 0.00
| train          | E: 63 | S: 12600 | R: -22.65 | TR: -1422.55 | TF: 128 | LR: 128 | NR: 0 | D: 27.0 s | TD: 3949.0 s | BR: -0.05 | ALOSS: 0.19 | CLOSS: 0.00 | TLOSS: 0.05 | TVAL: 0.04 | AENT: 0.54 | BCLOSS: 0.00
| train          | E: 64 | S: 12800 | R: -12.86 | TR: -1244.52 | TF: 128 | LR: 128 | NR: 0 | D: 27.2 s | TD: 3976.2 s | BR: -0.05 | ALOSS: 0.20 | CLOSS: 0.00 | TLOSS: 0.05 | TVAL: 0.03 | AENT: 0.53 | BCLOSS: 0.00
| train          | E: 65 | S: 13000 | R: -1.22 | TR: -1067.19 | TF: 128 | LR: 128 | NR: 0 | D: 27.0 s | TD: 4003.2 s | BR: -0.05 | ALOSS: 0.21 | CLOSS: 0.00 | TLOSS: 0.05 | TVAL: 0.03 | AENT: 0.52 | BCLOSS: 0.00
| train          | E: 66 | S: 13200 | R: -29.60 | TR: -1740.01 | TF: 128 | LR: 128 | NR: 0 | D: 27.3 s | TD: 4030.5 s | BR: -0.05 | ALOSS: 0.22 | CLOSS: 0.00 | TLOSS: 0.05 | TVAL: 0.03 | AENT: 0.51 | BCLOSS: 0.00
| train          | E: 67 | S: 13400 | R: -10.00 | TR: -1185.99 | TF: 128 | LR: 128 | NR: 0 | D: 26.8 s | TD: 4057.3 s | BR: -0.05 | ALOSS: 0.23 | CLOSS: 0.00 | TLOSS: 0.05 | TVAL: 0.03 | AENT: 0.51 | BCLOSS: 0.00
| train          | E: 68 | S: 13600 | R: -15.84 | TR: -1290.71 | TF: 128 | LR: 128 | NR: 0 | D: 26.9 s | TD: 4084.2 s | BR: -0.06 | ALOSS: 0.25 | CLOSS: 0.00 | TLOSS: 0.05 | TVAL: 0.03 | AENT: 0.50 | BCLOSS: 0.00
| train          | E: 69 | S: 13800 | R: -30.07 | TR: -1808.09 | TF: 128 | LR: 128 | NR: 0 | D: 27.0 s | TD: 4111.2 s | BR: -0.06 | ALOSS: 0.26 | CLOSS: 0.00 | TLOSS: 0.05 | TVAL: 0.03 | AENT: 0.49 | BCLOSS: 0.00
| train          | E: 70 | S: 14000 | R: -6.50 | TR: -1141.79 | TF: 128 | LR: 128 | NR: 0 | D: 26.9 s | TD: 4138.1 s | BR: -0.06 | ALOSS: 0.27 | CLOSS: 0.00 | TLOSS: 0.05 | TVAL: 0.03 | AENT: 0.48 | BCLOSS: 0.00
| train          | E: 71 | S: 14200 | R: -3.10 | TR: -1075.74 | TF: 128 | LR: 128 | NR: 0 | D: 27.1 s | TD: 4165.2 s | BR: -0.06 | ALOSS: 0.27 | CLOSS: 0.00 | TLOSS: 0.04 | TVAL: 0.03 | AENT: 0.47 | BCLOSS: 0.00
| train          | E: 72 | S: 14400 | R: -3.05 | TR: -1078.59 | TF: 128 | LR: 128 | NR: 0 | D: 26.9 s | TD: 4192.1 s | BR: -0.05 | ALOSS: 0.27 | CLOSS: 0.00 | TLOSS: 0.04 | TVAL: 0.03 | AENT: 0.45 | BCLOSS: 0.00
| train          | E: 73 | S: 14600 | R: -3.62 | TR: -1076.30 | TF: 128 | LR: 128 | NR: 0 | D: 27.0 s | TD: 4219.1 s | BR: -0.05 | ALOSS: 0.28 | CLOSS: 0.00 | TLOSS: 0.04 | TVAL: 0.03 | AENT: 0.44 | BCLOSS: 0.00
| train          | E: 74 | S: 14800 | R: -4.37 | TR: -1085.17 | TF: 128 | LR: 128 | NR: 0 | D: 27.0 s | TD: 4246.1 s | BR: -0.05 | ALOSS: 0.28 | CLOSS: 0.00 | TLOSS: 0.04 | TVAL: 0.03 | AENT: 0.42 | BCLOSS: 0.00
| train          | E: 75 | S: 15000 | R: 3.53 | TR: -966.61 | TF: 128 | LR: 128 | NR: 0 | D: 26.9 s | TD: 4273.0 s | BR: -0.05 | ALOSS: 0.27 | CLOSS: 0.00 | TLOSS: 0.04 | TVAL: 0.03 | AENT: 0.41 | BCLOSS: 0.00
Reward function is updated!! ACC: 0.97265625
| train          | E: 76 | S: 15200 | R: -2.37 | TR: -1047.97 | TF: 128 | LR: 128 | NR: 0 | D: 39.3 s | TD: 4312.3 s | BR: -0.23 | ALOSS: 0.47 | CLOSS: 0.00 | TLOSS: 0.03 | TVAL: 0.03 | AENT: 0.19 | BCLOSS: 0.00
| train          | E: 77 | S: 15400 | R: 63.54 | TR: -243.28 | TF: 256 | LR: 256 | NR: 0 | D: 27.0 s | TD: 4339.3 s | BR: -0.22 | ALOSS: 0.52 | CLOSS: 0.00 | TLOSS: 0.03 | TVAL: 0.03 | AENT: 0.15 | BCLOSS: 0.00
| train          | E: 78 | S: 15600 | R: 23.09 | TR: -613.47 | TF: 256 | LR: 256 | NR: 0 | D: 27.0 s | TD: 4366.3 s | BR: -0.22 | ALOSS: 0.56 | CLOSS: 0.00 | TLOSS: 0.03 | TVAL: 0.03 | AENT: 0.13 | BCLOSS: 0.00
| train          | E: 79 | S: 15800 | R: 78.44 | TR: -125.40 | TF: 256 | LR: 256 | NR: 0 | D: 27.1 s | TD: 4393.4 s | BR: -0.21 | ALOSS: 0.59 | CLOSS: 0.00 | TLOSS: 0.03 | TVAL: 0.03 | AENT: 0.11 | BCLOSS: 0.00
| train          | E: 80 | S: 16000 | R: 79.03 | TR: -123.31 | TF: 256 | LR: 256 | NR: 0 | D: 27.0 s | TD: 4420.4 s | BR: -0.20 | ALOSS: 0.60 | CLOSS: 0.00 | TLOSS: 0.03 | TVAL: 0.03 | AENT: 0.08 | BCLOSS: 0.00
| train          | E: 81 | S: 16200 | R: 49.76 | TR: -368.61 | TF: 256 | LR: 256 | NR: 0 | D: 26.8 s | TD: 4447.2 s | BR: -0.19 | ALOSS: 0.60 | CLOSS: 0.00 | TLOSS: 0.03 | TVAL: 0.03 | AENT: 0.05 | BCLOSS: 0.00
| train          | E: 82 | S: 16400 | R: 79.29 | TR: -123.48 | TF: 256 | LR: 256 | NR: 0 | D: 27.2 s | TD: 4474.4 s | BR: -0.19 | ALOSS: 0.62 | CLOSS: 0.00 | TLOSS: 0.03 | TVAL: 0.03 | AENT: 0.01 | BCLOSS: 0.00
| train          | E: 83 | S: 16600 | R: 22.62 | TR: -621.51 | TF: 256 | LR: 256 | NR: 0 | D: 27.0 s | TD: 4501.4 s | BR: -0.19 | ALOSS: 0.65 | CLOSS: 0.00 | TLOSS: 0.02 | TVAL: 0.03 | AENT: -0.02 | BCLOSS: 0.00
| train          | E: 84 | S: 16800 | R: 37.69 | TR: -490.01 | TF: 256 | LR: 256 | NR: 0 | D: 27.2 s | TD: 4528.6 s | BR: -0.18 | ALOSS: 0.65 | CLOSS: 0.00 | TLOSS: 0.02 | TVAL: 0.02 | AENT: -0.06 | BCLOSS: 0.00
| train          | E: 85 | S: 17000 | R: 52.06 | TR: -362.95 | TF: 256 | LR: 256 | NR: 0 | D: 27.3 s | TD: 4556.0 s | BR: -0.18 | ALOSS: 0.66 | CLOSS: 0.00 | TLOSS: 0.02 | TVAL: 0.02 | AENT: -0.10 | BCLOSS: 0.00
| train          | E: 86 | S: 17200 | R: 22.61 | TR: -622.48 | TF: 256 | LR: 256 | NR: 0 | D: 27.0 s | TD: 4583.0 s | BR: -0.17 | ALOSS: 0.69 | CLOSS: 0.00 | TLOSS: 0.02 | TVAL: 0.02 | AENT: -0.14 | BCLOSS: 0.00
| train          | E: 87 | S: 17400 | R: -25.24 | TR: -1075.55 | TF: 256 | LR: 256 | NR: 0 | D: 27.0 s | TD: 4609.9 s | BR: -0.17 | ALOSS: 0.68 | CLOSS: 0.00 | TLOSS: 0.02 | TVAL: 0.02 | AENT: -0.18 | BCLOSS: 0.00
| train          | E: 88 | S: 17600 | R: 64.15 | TR: -249.56 | TF: 256 | LR: 256 | NR: 0 | D: 26.9 s | TD: 4636.8 s | BR: -0.16 | ALOSS: 0.67 | CLOSS: 0.00 | TLOSS: 0.02 | TVAL: 0.02 | AENT: -0.21 | BCLOSS: 0.00
